,link,text,user,date,likes,quotes,retweets,comments
0,https://twitter.com/AamAadmiParty/status/1775562984212807791#m,à¤œà¥‡à¤² à¤•à¥‡ à¤¤à¤¾à¤²à¥‡ à¤Ÿà¥‚à¤Ÿ à¤—à¤! à¤¸à¤‚à¤œà¤¯ à¤¸à¤¿à¤‚à¤¹ à¤›à¥‚à¤Ÿ à¤—à¤! ðŸ”¥ðŸ”¥ AAP à¤®à¥à¤–à¥à¤¯à¤¾à¤²à¤¯ à¤¸à¥‡ à¤µà¤°à¤¿à¤·à¥à¤  à¤¨à¥‡à¤¤à¤¾ @SanjayAzadSln à¤•à¥€ à¤•à¥à¤°à¤¾à¤‚à¤¤à¤¿à¤•à¤¾à¤°à¥€ à¤¸à¥à¤ªà¥€à¤š l LIVE #SanjaySinghIsBack https://twitter.com/i/broadcasts/1eaJbgmejWRxX,AAP,"Apr 3, 2024 Â· 4:36 PM UTC",1660,72,877,278
1,https://twitter.com/AamAadmiParty/status/1775774722220823014#m,AAP MP @SanjayAzadSln à¤œà¥€ à¤¨à¥‡ à¤«à¤¼à¤°à¥à¤œà¤¼à¥€ à¤•à¥‡à¤¸ à¤®à¥‡à¤‚ à¤œà¤®à¤¾à¤¨à¤¤ à¤®à¤¿à¤²à¤¨à¥‡ à¤•à¥‡ à¤¬à¤¾à¤¦ à¤œà¥‡à¤² à¤¸à¥‡ à¤¬à¤¾à¤¹à¤° à¤†à¤•à¤° à¤†à¤œ à¤­à¤—à¤µà¤¾à¤¨ à¤¹à¤¨à¥à¤®à¤¾à¤¨ à¤œà¥€ à¤•à¤¾ à¤†à¤¶à¥€à¤°à¥à¤µà¤¾à¤¦ à¤²à¤¿à¤¯à¤¾à¥¤  #SanjaySinghIsBack,AAP,"Apr 4, 2024 Â· 6:37 AM UTC",61,1,18,8
2,https://twitter.com/AamAadmiParty/status/1775772901230125543#m,à¤œà¥‡à¤² à¤¸à¥‡ CM @ArvindKejriwal à¤œà¥€ à¤•à¤¾ à¤…à¤ªà¤¨à¥‡ à¤¸à¤­à¥€ à¤µà¤¿à¤§à¤¾à¤¯à¤•à¥‹à¤‚ à¤•à¥‡ à¤²à¤¿à¤ à¤¸à¤‚à¤¦à¥‡à¤¶à¥¤ Smt. @KejriwalSunita Addressing an Important Press Conference l LIVE https://twitter.com/i/broadcasts/1djxXNLZAQjGZ,AAP,"Apr 4, 2024 Â· 6:30 AM UTC",124,3,65,21
3,https://twitter.com/AamAadmiParty/status/1775762919772270600#m,"Hon'ble Chief Minister Shri @ArvindKejriwal's wife, Smt. @KejriwalSunita to address an important press conference at 12 noon, today.   Date: April 4, 2024 Time: 12 noon   Watch LIVEðŸ‘‡  ðŸ“ºTwitter - https://www.twitter.com/AamAadmiParty ðŸ“ºFacebook - facebook.com/AamAadmiParty ðŸ“ºYouTube - https://www.youtube.com/c/AamAadmiParty/",AAP,"Apr 4, 2024 Â· 5:50 AM UTC",46,0,22,12
4,https://twitter.com/AamAadmiParty/status/1775758561416503436#m,"AAP à¤•à¤¾ à¤à¤• à¤à¤• à¤•à¤¾à¤°à¥à¤¯à¤•à¤°à¥à¤¤à¤¾ à¤…à¤ªà¤¨à¥‡ à¤¨à¥‡à¤¤à¤¾ Arvind Kejriwal à¤•à¥‡ à¤¸à¤¾à¤¥ à¤–à¤¡à¤¼à¤¾ à¤¹à¥ˆà¥¤  à¤²à¤¡à¤¼à¥‡à¤‚à¤—à¥‡, à¤œà¥€à¤¤à¥‡à¤‚à¤—à¥‡ âœŠðŸ½  #SanjaySinghIsBack",AAP,"Apr 4, 2024 Â· 5:33 AM UTC",179,2,61,45
5,https://twitter.com/AamAadmiParty/status/1775740859268669579#m,à¤®à¥ˆà¤‚ à¤‡à¤¸ à¤ªà¥‚à¤°à¥€ à¤²à¤¡à¤¼à¤¾à¤ˆ à¤®à¥‡à¤‚ à¤¦à¤¿à¤² à¤•à¥€ à¤—à¤¹à¤°à¤¾à¤‡à¤¯à¥‹à¤‚ à¤¸à¥‡ à¤§à¤¨à¥à¤¯à¤µà¤¾à¤¦ à¤•à¤°à¤¨à¤¾ à¤šà¤¾à¤¹à¥‚à¤‚à¤—à¤¾ à¤…à¤­à¤¿à¤·à¥‡à¤• à¤®à¤¨à¥ à¤¸à¤¿à¤‚à¤˜à¤µà¥€ à¤œà¥€ à¤•à¤¾ à¤œà¤¿à¤¨à¥à¤¹à¥‹à¤‚à¤¨à¥‡ à¤…à¤ªà¤¨à¥‡ à¤¬à¥‡à¤¬à¤¾à¤• à¤¤à¤°à¥à¤•à¥‹à¤‚ à¤¸à¥‡ à¤…à¤¦à¤¾à¤²à¤¤ à¤•à¥‡ à¤¸à¤¾à¤®à¤¨à¥‡ à¤¸à¤š à¤²à¤¾à¤¨à¥‡ à¤•à¤¾ à¤•à¤¾à¤® à¤•à¤¿à¤¯à¤¾à¥¤  - @SanjayAzadSIn #SanjaySinghIsBack,AAP,"Apr 4, 2024 Â· 4:23 AM UTC",764,2,209,67
6,https://twitter.com/AamAadmiParty/status/1775730784542089415#m,10 à¤—à¥à¤¨à¤¾ à¤œà¥à¤¯à¤¾à¤¦à¤¾ à¤®à¥‡à¤¹à¤¨à¤¤ à¤•à¤°à¥‡à¤‚à¤—à¥‡ Jail à¤•à¤¾ à¤œà¤µà¤¾à¤¬ VOTE à¤¸à¥‡ à¤¦à¥‡à¤‚à¤—à¥‡à¥¤  #SanjaySinghIsBack,AAP,"Apr 4, 2024 Â· 3:43 AM UTC",316,7,118,81
7,https://twitter.com/AamAadmiParty/status/1775599614651142607#m,"à¤¯à¤¹ â€˜à¤†à¤ªâ€™ à¤ªà¤°à¤¿à¤µà¤¾à¤° à¤¹à¥ˆâ¤ï¸  AAP MP @SanjayAzadSln à¤œà¥€ à¤«à¤¼à¤°à¥à¤œà¤¼à¥€ Case à¤®à¥‡à¤‚ à¤œà¥‡à¤² à¤¸à¥‡ à¤¬à¤¾à¤¹à¤° à¤¨à¤¿à¤•à¤² à¤•à¤° à¤¸à¤¬à¤¸à¥‡ à¤ªà¤¹à¤²à¥‡ @ArvindKejriwal à¤œà¥€ à¤•à¥‡ à¤ªà¤°à¤¿à¤µà¤¾à¤° à¤¸à¥‡ à¤®à¤¿à¤²à¤¨à¥‡ à¤ªà¤¹à¥à¤à¤šà¥‡,   à¤µà¤¹à¤¾à¤‚ à¤®à¥à¤–à¥à¤¯à¤®à¤‚à¤¤à¥à¤°à¥€ Arvind Kejriwal à¤œà¥€ à¤•à¥€ à¤§à¤°à¥à¤®à¤ªà¤¤à¥à¤¨à¥€ @KejriwalSunita à¤œà¥€ à¤¸à¥‡ à¤®à¤¿à¤²à¤•à¤° à¤‰à¤¨à¤•à¤¾ à¤†à¤¶à¥€à¤°à¥à¤µà¤¾à¤¦ à¤²à¤¿à¤¯à¤¾   à¤”à¤° à¤«à¤¿à¤° à¤¶à¤¿à¤•à¥à¤·à¤¾ à¤•à¥à¤°à¤¾à¤‚à¤¤à¤¿ à¤•à¥‡ à¤œà¤¨à¤• @msisodia à¤œà¥€ à¤•à¥‡ à¤˜à¤° à¤œà¤¾à¤•à¤° à¤‰à¤¨à¤•à¥€ à¤§à¤°à¥à¤®à¤ªà¤¤à¥à¤¨à¥€ à¤¸à¥€à¤®à¤¾ à¤œà¥€ à¤¸à¥‡ à¤†à¤¶à¥€à¤°à¥à¤µà¤¾à¤¦ à¤²à¥‡à¤•à¤° à¤‰à¤¨à¤•à¥‡ à¤¸à¥à¤µà¤¾à¤¸à¥à¤¥à¥à¤¯ à¤•à¥‡ à¤¬à¤¾à¤°à¥‡ à¤®à¥‡à¤‚ à¤œà¤¾à¤¨à¤•à¤¾à¤°à¥€ à¤²à¥€à¥¤  #SanjaySinghIsBack",AAP,"Apr 3, 2024 Â· 7:01 PM UTC",1408,6,369,47
8,https://twitter.com/AamAadmiParty/status/1775597048710189495#m,à¤…à¤¬ à¤œà¤¶à¥à¤¨ à¤•à¤¾ à¤µà¤•à¥à¤¤ à¤¨à¤¹à¥€à¤‚ à¤¹à¥ˆ  à¤œà¤‚à¤— à¤•à¤¾ à¤µà¤•à¥à¤¤ à¤¹à¥ˆ! ðŸ’ªðŸ”¥  -@SanjayAzadSln #SanjaySinghIsBack,AAP,"Apr 3, 2024 Â· 6:51 PM UTC",825,6,288,31
9,https://twitter.com/AamAadmiParty/status/1775595515738251519#m,"à¤¹à¤®à¤¾à¤°à¥‡ à¤¨à¥‡à¤¤à¤¾ ðŸ’¯ % à¤ˆà¤®à¤¾à¤¨à¤¦à¤¾à¤° à¤¹à¥ˆà¤‚ à¤”à¤° à¤‰à¤¨à¤•à¥‹ à¤¦à¤¬à¤¾à¤¨à¥‡, à¤¡à¤°à¤¾à¤¨à¥‡, à¤à¥à¤•à¤¾à¤¨à¥‡, à¤²à¤¾à¤ à¥€ à¤šà¤²à¤¾à¤¨à¥‡, à¤®à¥à¤•à¤¦à¤®à¥‡à¤‚ à¤²à¤¿à¤–à¤¨à¥‡ à¤”à¤° à¤œà¥‡à¤² à¤­à¥‡à¤œà¤¨à¥‡ à¤•à¥€ à¤•à¥‹à¤¶à¤¿à¤¶à¥‡à¤‚ à¤¬à¤‚à¤¦ à¤•à¤°à¥‹à¥¤   à¤µà¥‹ à¤ªà¥‚à¤°à¥€ à¤ˆà¤®à¤¾à¤¨à¤¦à¤¾à¤°à¥€ à¤”à¤° à¤¸à¤šà¥à¤šà¤¾à¤ˆ à¤•à¥‡ à¤¸à¤¾à¤¥ à¤¬à¤¾à¤¹à¤° à¤†à¤à¤‚à¤—à¥‡à¥¤  @SanjayAzadSln #SanjaySinghIsBack",AAP,"Apr 3, 2024 Â· 6:45 PM UTC",513,1,181,32
